Store_Name,Categories,Location,Zip_Code,Price,Rating,Review_Count,geometry,State,County,City,Name,RegionID,price_int,chain,strictly_coffee,coffee_is_cat,breakfast_and_brunch,bakeries,diner,deli,ice_cream_and_froyo,juice_and_smoothie,primary_category
Condesa Coffee,"['Coffee & Tea', 'Breakfast & Brunch']","(33.7553100585938, -84.3828201293945)",30303.0,$,4.0,42,POINT (-84.3828201293945 33.7553100585938),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Panbury's Pie Café,"['British', 'Coffee & Tea', 'Bakeries']","(33.7602246, -84.3871759)",30303.0,$,4.5,80,POINT (-84.3871759 33.7602246),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,False,True,False,False,False,False,bakeries
Just Add Honey Tea Company,"['Coffee & Tea', 'Tea Rooms']","(33.75403, -84.3798599)",30303.0,$$,4.5,52,POINT (-84.3798599 33.75403),GA,Fulton,Atlanta,Downtown,269306,2,False,False,True,False,False,False,False,False,False,other
Caribou Coffee,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Sandwiches']","(33.7602272, -84.386841)",30303.0,$,4.0,21,POINT (-84.386841 33.7602272),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,True,chain
Atlanta Breakfast Club,"['Breakfast & Brunch', 'American (Traditional)', 'Coffee & Tea']","(33.7646651, -84.3954503)",30313.0,$$,4.5,1756,POINT (-84.39545029999999 33.7646651),GA,Fulton,Atlanta,Downtown,269306,2,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Buenos Dias Cafe,"['Coffee & Tea', 'Juice Bars & Smoothies', 'Sandwiches']","(33.7538308247238, -84.3886284657338)",30303.0,$,4.5,126,POINT (-84.3886284657338 33.7538308247238),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,False,False,False,False,False,True,juice_and_smoothie
Jittery Joe's,['Coffee & Tea'],"(33.75864, -84.38716)",30303.0,$$,3.5,7,POINT (-84.38715999999999 33.75864),GA,Fulton,Atlanta,Downtown,269306,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Caribou Coffee,"['Coffee & Tea', 'Breakfast & Brunch']","(33.7628593, -84.3865204)",30308.0,$,3.5,16,POINT (-84.38652039999999 33.7628593),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,True,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.757913, -84.394627)",30303.0,$,3.0,34,POINT (-84.394627 33.757913),GA,Fulton,Atlanta,Downtown,269306,1,True,True,True,False,False,False,False,False,False,chain
Dunkin' Donuts,"['Coffee & Tea', 'Donuts']","(33.7574234008789, -84.3889007568359)",30303.0,$,4.0,32,POINT (-84.38890075683589 33.7574234008789),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Sweet Auburn Bakery,"['Bakeries', 'Coffee & Tea']","(33.75403, -84.37986)",30303.0,$,4.0,63,POINT (-84.37985999999999 33.75403),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,False,True,False,False,False,False,bakeries
Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.760811, -84.395356)",30303.0,$,2.5,12,POINT (-84.39535600000001 33.760811),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.7626399324971, -84.3855789200771)",30308.0,$,3.5,13,POINT (-84.38557892007709 33.7626399324971),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.75942, -84.38837)",30303.0,$,3.5,22,POINT (-84.38836999999999 33.75942),GA,Fulton,Atlanta,Downtown,269306,1,True,True,True,False,False,False,False,False,False,chain
Saxbys Coffee,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']","(33.7528683603387, -84.3863642365339)",30303.0,$,2.5,41,POINT (-84.38636423653389 33.7528683603387),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Southern Roots Cafe,['Coffee & Tea'],"(33.7580634902339, -84.398118903766)",30313.0,$$,3.0,7,POINT (-84.398118903766 33.7580634902339),GA,Fulton,Atlanta,Downtown,269306,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Starbucks,['Coffee & Tea'],"(33.75681, -84.38854)",30303.0,$$,3.0,52,POINT (-84.38854000000001 33.75681),GA,Fulton,Atlanta,Downtown,269306,2,True,True,True,False,False,False,False,False,False,chain
Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.7706589631263, -84.389324337244)",30308.0,$,3.0,11,POINT (-84.38932433724401 33.7706589631263),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Starbucks,"['Coffee & Tea', 'Sandwiches']","(33.76158, -84.3851)",30303.0,$,2.0,39,POINT (-84.38509999999999 33.76158),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Highland Bakery,"['Breakfast & Brunch', 'Coffee & Tea', 'Sandwiches']","(33.755253, -84.387819)",30303.0,$$,2.5,24,POINT (-84.38781899999999 33.755253),GA,Fulton,Atlanta,Downtown,269306,2,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']","(33.753826, -84.392797)",30303.0,$,1.5,28,POINT (-84.392797 33.753826),GA,Fulton,Atlanta,Downtown,269306,1,True,False,True,False,False,False,False,False,False,chain
Dancing Goats Coffee Bar,['Coffee & Tea'],"(33.7714229890842, -84.3674024200388)",30308.0,$,4.0,355,POINT (-84.3674024200388 33.7714229890842),GA,Fulton,Atlanta,Old Fourth Ward,269397,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Condesa Coffee,"['Coffee & Tea', 'Bars', 'Breakfast & Brunch']","(33.7597745489245, -84.3719016158246)",30312.0,$,4.0,261,POINT (-84.3719016158246 33.7597745489245),GA,Fulton,Atlanta,Old Fourth Ward,269397,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Chrome Yellow Trading,"['Coffee & Tea', ""Men's Clothing"", ""Women's Clothing""]","(33.75396, -84.370983)",30312.0,$$,4.0,84,POINT (-84.370983 33.75396),GA,Fulton,Atlanta,Old Fourth Ward,269397,2,False,False,True,False,False,False,False,False,False,other
Happy Tabby Cat Cafe,['Coffee & Tea'],"(33.757525111124, -84.3700855225325)",30312.0,$,4.5,18,POINT (-84.37008552253251 33.757525111124),GA,Fulton,Atlanta,Old Fourth Ward,269397,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Spiller Park Coffee,['Coffee & Tea'],"(33.77237, -84.36609)",30308.0,$$,3.5,100,POINT (-84.36609 33.77237),GA,Fulton,Atlanta,Old Fourth Ward,269397,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Queen of Cream,"['Ice Cream & Frozen Yogurt', 'Coffee & Tea']","(33.761222, -84.364481)",30312.0,$,4.0,153,POINT (-84.364481 33.761222),GA,Fulton,Atlanta,Old Fourth Ward,269397,1,False,False,True,False,False,False,False,True,False,ice_cream_and_froyo
Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.773093971755, -84.3714155629277)",30308.0,$,4.0,27,POINT (-84.37141556292769 33.773093971755),GA,Fulton,Atlanta,Old Fourth Ward,269397,1,True,False,True,False,False,False,False,False,False,chain
Octane Westside,"['Coffee & Tea', 'Cocktail Bars', 'Cafes']","(33.7792577418896, -84.4101894792082)",30318.0,$,4.0,655,POINT (-84.4101894792082 33.7792577418896),GA,Fulton,Atlanta,Marietta Street Artery,403424,1,False,False,True,False,False,False,False,False,False,other
Amélie's French Bakery & Café,"['Coffee & Tea', 'Cafes', 'Patisserie/Cake Shop']","(33.7753296, -84.40681)",30318.0,$,4.0,410,POINT (-84.40680999999999 33.7753296),GA,Fulton,Atlanta,Marietta Street Artery,403424,1,False,False,True,False,False,False,False,False,False,other
Urban Grind Coffee House,['Coffee & Tea'],"(33.7779689, -84.4091274)",30318.0,$,3.5,88,POINT (-84.4091274 33.7779689),GA,Fulton,Atlanta,Marietta Street Artery,403424,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Delia's Chicken Sausage Stand,"['Chicken Shop', 'Coffee & Tea', 'Delis']","(33.7764523, -84.4073889)",30318.0,$,4.0,276,POINT (-84.4073889 33.7764523),GA,Fulton,Atlanta,Marietta Street Artery,403424,1,False,False,True,False,False,False,False,False,False,other
Taproom Coffee,"['Coffee & Tea', 'Beer Bar']","(33.7518499, -84.3233922)",30317.0,$,4.0,175,POINT (-84.3233922 33.7518499),GA,Dekalb,Atlanta,Kirkwood,129705,1,False,False,True,False,False,False,False,False,False,other
Land of a Thousand Hills Coffee,"['Cafes', 'Coffee & Tea', 'Beer, Wine & Spirits']","(33.793206, -84.39557)",30363.0,$,4.0,150,POINT (-84.39557000000001 33.793206),GA,Fulton,Atlanta,Atlantic Station,399509,1,False,False,True,False,False,False,False,False,False,other
Salata,"['Salad', 'Desserts', 'Coffee & Tea']","(33.7934370005297, -84.3966910230588)",30363.0,$$,4.0,64,POINT (-84.39669102305881 33.7934370005297),GA,Fulton,Atlanta,Atlantic Station,399509,2,False,False,True,False,False,False,False,False,False,other
Starbucks,['Coffee & Tea'],"(33.7913822767531, -84.3982624295934)",30363.0,$,2.0,21,POINT (-84.3982624295934 33.7913822767531),GA,Fulton,Atlanta,Atlantic Station,399509,1,True,True,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.7932029302322, -84.3994047492743)",30363.0,$,2.5,13,POINT (-84.3994047492743 33.7932029302322),GA,Fulton,Atlanta,Atlantic Station,399509,1,True,True,True,False,False,False,False,False,False,chain
Brash Coffee,['Coffee & Tea'],"(33.7855442508317, -84.4119351323919)",30318.0,$$,4.5,83,POINT (-84.4119351323919 33.7855442508317),GA,Fulton,Atlanta,Home Park,269345,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Dtox,"['Coffee & Tea', 'Juice Bars & Smoothies']","(33.7859903, -84.4120101)",30318.0,$$,4.0,12,POINT (-84.4120101 33.7859903),GA,Fulton,Atlanta,Home Park,269345,2,False,False,True,False,False,False,False,False,True,juice_and_smoothie
West Egg Café,"['Breakfast & Brunch', 'Sandwiches', 'Coffee & Tea']","(33.7843740596099, -84.4121883772461)",30318.0,$$,4.0,1271,POINT (-84.4121883772461 33.7843740596099),GA,Fulton,Atlanta,Home Park,269345,2,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Caffe Antico,"['Cafes', 'Coffee & Tea', 'Gelato']","(33.78422875227, -84.4054824845169)",30318.0,$,3.5,58,POINT (-84.4054824845169 33.78422875227),GA,Fulton,Atlanta,Home Park,269345,1,False,False,True,False,False,False,False,False,False,other
McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']","(33.7849424503743, -84.4068632228391)",30318.0,$,2.5,54,POINT (-84.40686322283911 33.7849424503743),GA,Fulton,Atlanta,Home Park,269345,1,True,False,True,False,False,False,False,False,False,chain
Chattahoochee Coffee Company,['Coffee & Tea'],"(33.7870843852516, -84.4137239457724)",30318.0,$,4.0,112,POINT (-84.4137239457724 33.7870843852516),GA,Fulton,Atlanta,Blandtown,403419,1,False,True,True,False,False,False,False,False,False,strictly_coffee
The Warhorse Coffee Joint,['Coffee & Tea'],"(33.7853716, -84.4170463)",30318.0,$,4.5,15,POINT (-84.4170463 33.7853716),GA,Fulton,Atlanta,Blandtown,403419,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Caffé Bella,['Coffee & Tea'],"(33.78972, -84.42547)",30318.0,$$,4.5,12,POINT (-84.42547 33.78972),GA,Fulton,Atlanta,Blandtown,403419,2,False,True,True,False,False,False,False,False,False,strictly_coffee
The Goat Farm,"['Music Venues', 'Coffee & Tea']","(33.78642, -84.414617)",30318.0,$,4.0,53,POINT (-84.41461700000001 33.78642),GA,Fulton,Atlanta,Blandtown,403419,1,False,False,True,False,False,False,False,False,False,other
Muchacho,"['Coffee & Tea', 'Coffee Roasteries', 'Tacos']","(33.7467049, -84.3569)",30316.0,$$,4.5,85,POINT (-84.3569 33.7467049),GA,Fulton,Atlanta,Reynoldstown,269422,2,False,False,True,False,False,False,False,False,False,other
ParkGrounds,"['Coffee & Tea', 'Breakfast & Brunch']","(33.75008, -84.35452)",30316.0,$,4.0,243,POINT (-84.35451999999999 33.75008),GA,Fulton,Atlanta,Reynoldstown,269422,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Muchacho,"['Coffee & Tea', 'Coffee Roasteries', 'Tacos']","(33.7467049, -84.3569)",30316.0,$$,4.5,85,POINT (-84.3569 33.7467049),GA,Dekalb,Atlanta,Reynoldstown,269422,2,False,False,True,False,False,False,False,False,False,other
ParkGrounds,"['Coffee & Tea', 'Breakfast & Brunch']","(33.75008, -84.35452)",30316.0,$,4.0,243,POINT (-84.35451999999999 33.75008),GA,Dekalb,Atlanta,Reynoldstown,269422,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Octane Woodruff Arts Center,"['Coffee & Tea', 'Cocktail Bars', 'Cafes']","(33.7891582, -84.3849351)",30309.0,$$,4.0,40,POINT (-84.38493510000001 33.7891582),GA,Fulton,Atlanta,Midtown,269381,2,False,False,True,False,False,False,False,False,False,other
Land of a Thousand Hills Midtown,"['Coffee & Tea', 'Bakeries']","(33.77398, -84.38394)",30308.0,$$,4.0,23,POINT (-84.38394 33.77398),GA,Fulton,Atlanta,Midtown,269381,2,False,False,True,False,True,False,False,False,False,bakeries
Dancing Goats Coffee Bar,['Coffee & Tea'],"(33.780765, -84.386207)",30309.0,$,4.0,52,POINT (-84.386207 33.780765),GA,Fulton,Atlanta,Midtown,269381,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Huge Café,['Coffee & Tea'],"(33.7922346807162, -84.3863286450505)",30309.0,$$,3.5,31,POINT (-84.3863286450505 33.7922346807162),GA,Fulton,Atlanta,Midtown,269381,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Sweet Hut Bakery & Cafe,"['Coffee & Tea', 'Bakeries', 'Sandwiches']","(33.780215, -84.3839385)",30309.0,$,4.0,570,POINT (-84.3839385 33.780215),GA,Fulton,Atlanta,Midtown,269381,1,False,False,True,False,True,False,False,False,False,bakeries
Caribou Coffee,['Coffee & Tea'],"(33.7821617126465, -84.3806838989258)",30309.0,$,3.5,129,POINT (-84.3806838989258 33.7821617126465),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
Empire State South,"['Southern', 'Cocktail Bars', 'Coffee & Tea']","(33.7811016, -84.3837163)",30309.0,$$$,4.0,733,POINT (-84.3837163 33.7811016),GA,Fulton,Atlanta,Midtown,269381,3,False,False,True,False,False,False,False,False,False,other
The Bean Counter Promenade,"['Coffee & Tea', 'Juice Bars & Smoothies']","(33.7874116318282, -84.3854415209089)",30309.0,$,4.0,6,POINT (-84.3854415209089 33.7874116318282),GA,Fulton,Atlanta,Midtown,269381,1,False,False,True,False,False,False,False,False,True,juice_and_smoothie
Highland Bakery Midtown,"['Bakeries', 'Coffee & Tea']","(33.7867828444397, -84.3841835761704)",30309.0,$$,3.0,162,POINT (-84.3841835761704 33.7867828444397),GA,Fulton,Atlanta,Midtown,269381,2,False,False,True,False,True,False,False,False,False,bakeries
Starbucks,['Coffee & Tea'],"(33.7822611525966, -84.3830833862305)",30309.0,$,3.5,20,POINT (-84.3830833862305 33.7822611525966),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
Caribou Coffee & Einstein Bros Bagels,"['Coffee & Tea', 'Bagels']","(33.7862121122601, -84.3829900386845)",30309.0,$$,2.5,7,POINT (-84.3829900386845 33.7862121122601),GA,Fulton,Atlanta,Midtown,269381,2,False,False,True,False,False,False,False,False,False,other
Krispy Kreme,"['Coffee & Tea', 'Donuts']","(33.77212, -84.37813)",30308.0,$,4.0,201,POINT (-84.37813 33.77212),GA,Fulton,Atlanta,Midtown,269381,1,False,False,True,False,False,False,False,False,False,other
Starbucks,['Coffee & Tea'],"(33.7784329952264, -84.3840729519666)",30308.0,$,3.5,89,POINT (-84.3840729519666 33.7784329952264),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.7801998131838, -84.3688203178361)",30308.0,$,3.5,60,POINT (-84.3688203178361 33.7801998131838),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
Vitality Bowls,"['Acai Bowls', 'Coffee & Tea', 'Juice Bars & Smoothies']","(33.777929, -84.384195)",30308.0,$$,3.5,103,POINT (-84.38419500000001 33.777929),GA,Fulton,Atlanta,Midtown,269381,2,False,False,True,False,False,False,False,False,True,juice_and_smoothie
Starbucks,['Coffee & Tea'],"(33.7766851, -84.3884398)",30308.0,$$,3.0,23,POINT (-84.3884398 33.7766851),GA,Fulton,Atlanta,Midtown,269381,2,True,True,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.78633, -84.38703)",30309.0,$,3.0,75,POINT (-84.38703 33.78633),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
Einstein Bros Bagels,"['Bagels', 'Coffee & Tea']","(33.7767749201382, -84.384633153677)",30308.0,$,2.5,61,POINT (-84.384633153677 33.7767749201382),GA,Fulton,Atlanta,Midtown,269381,1,False,False,True,False,False,False,False,False,False,other
Dunkin' Donuts,"['Donuts', 'Coffee & Tea']","(33.7734142617388, -84.3869276243675)",30308.0,$,3.0,13,POINT (-84.3869276243675 33.7734142617388),GA,Fulton,Atlanta,Midtown,269381,1,True,False,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.7736137397271, -84.3659019470215)",30308.0,$,3.5,54,POINT (-84.3659019470215 33.7736137397271),GA,Fulton,Atlanta,Midtown,269381,1,True,True,True,False,False,False,False,False,False,chain
McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']","(33.7742937531199, -84.3695859611034)",30308.0,$,2.0,64,POINT (-84.3695859611034 33.7742937531199),GA,Fulton,Atlanta,Midtown,269381,1,True,False,True,False,False,False,False,False,False,chain
Hodgepodge Coffeehouse & Gallery,"['Coffee & Tea', 'Bakeries']","(33.7345175, -84.3490564)",30316.0,$,4.0,213,POINT (-84.34905639999999 33.7345175),GA,Dekalb,Atlanta,East Atlanta,128368,1,False,False,True,False,True,False,False,False,False,bakeries
Joe's East Atlanta Coffee Shop,['Coffee & Tea'],"(33.7403724407129, -84.3454584733479)",30316.0,$,4.0,187,POINT (-84.3454584733479 33.7403724407129),GA,Dekalb,Atlanta,East Atlanta,128368,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Emerald City Bagels,"['Bagels', 'Coffee & Tea', 'Sandwiches']","(33.73996, -84.34646)",30316.0,$$,4.0,82,POINT (-84.34645999999999 33.73996),GA,Dekalb,Atlanta,East Atlanta,128368,2,False,False,True,False,False,False,False,False,False,other
Press and Grind,"['Coffee & Tea', 'Bakeries', 'Gluten-Free']","(33.7817269, -84.3543679)",30306.0,$,4.0,97,POINT (-84.3543679 33.7817269),GA,Fulton,Atlanta,Virginia Highland,275890,1,False,False,True,False,True,False,False,False,False,bakeries
Callie's Hot Little Biscuit,"['Coffee & Tea', 'Bakeries', 'Sandwiches']","(33.7824830035617, -84.3544838290934)",30306.0,$,4.0,216,POINT (-84.3544838290934 33.7824830035617),GA,Fulton,Atlanta,Virginia Highland,275890,1,False,False,True,False,True,False,False,False,False,bakeries
Press and Grind,"['Coffee & Tea', 'Bakeries', 'Gluten-Free']","(33.7817269, -84.3543679)",30306.0,$,4.0,97,POINT (-84.3543679 33.7817269),GA,Dekalb,Atlanta,Virginia Highland,275890,1,False,False,True,False,True,False,False,False,False,bakeries
Callie's Hot Little Biscuit,"['Coffee & Tea', 'Bakeries', 'Sandwiches']","(33.7824830035617, -84.3544838290934)",30306.0,$,4.0,216,POINT (-84.3544838290934 33.7824830035617),GA,Dekalb,Atlanta,Virginia Highland,275890,1,False,False,True,False,True,False,False,False,False,bakeries
Aurora Coffee,"['Coffee & Tea', 'Desserts']","(33.7670023847127, -84.3494305579272)",30307.0,$,4.0,139,POINT (-84.34943055792721 33.7670023847127),GA,Fulton,Atlanta,Inman Park,272817,1,False,False,True,False,False,False,False,False,False,other
Proof Bakeshop,"['Coffee & Tea', 'Bakeries', 'Sandwiches']","(33.7569541931152, -84.3539352416992)",30307.0,$,4.0,129,POINT (-84.3539352416992 33.7569541931152),GA,Fulton,Atlanta,Inman Park,272817,1,False,False,True,False,True,False,False,False,False,bakeries
